ID,Date,Retweets,Replies,Likes,Quotes,Tweet
1329639555872526337,2020-11-20T04:15:48.000Z,0,0,0,0,@gcr1068 @spawnywhippet @pgd2020 @BrianHiggins_78 @nichterc12 @realDonaldTrump God ain't saving people from Covid.  You do realize more than 4x Americans have died in 10 months from this virus than the entirety of the Vietnam War... You know where people actively trying to kill soldiers for like 20 years....
1329639553603432450,2020-11-20T04:15:47.000Z,0,0,0,0,"@bopinion The facts: only one of the four most promising COVID vaccines (Moderna) has been developed in the US. The others: BioNtech in Germany, OxfordAZ in UK/Sweden, J&amp;J at Janssen in the Netherlands."
1329639551963303936,2020-11-20T04:15:47.000Z,0,0,0,0,@RollingStone Hi Ed! @PearlJam after covid u gonna drop in the park again? https://t.co/CK2yQY7VYo
1329639550080020482,2020-11-20T04:15:46.000Z,0,0,0,0,@AllThePlants @ChrisCuomo how do YOU know that ...  trump let the country down on covid from feb by lying why should anyone think he knows jack shit. If it is worked out then it will be other people and he will take credit ... he needs to go to jail
1329639548566069249,2020-11-20T04:15:46.000Z,0,0,0,0,@BangtanTrends @btsaeso @BTS_twt Remember when one army commented under trumps tested positive covid tweet the video of them say life goes on😭
1329639548457021445,2020-11-20T04:15:46.000Z,0,0,0,0,"@charliekirk11 It's easy to see what the Dems are up to. They have  nothing that says they did anything to help with COVID. Their plan is to lockdown. While on lockdown, people start getting therapeutics and vaccine. COVID numbers plummet and the Dems claim the lockdown did it"
1329639547542626304,2020-11-20T04:15:46.000Z,0,0,0,0,"Without masks and a vaccine, we could reach Herd Immunity from COVID-19, but deaths would skyrocket. Here's a break down the science behind it. 

https://t.co/xY1BafmPUc"
1329639545457889282,2020-11-20T04:15:45.000Z,0,0,0,0,"@braintreebrat @LucyNeedsaXanax @HoweyLiz @WSUDLERSMITH @CNN COVID IS A MAN MADE VIRUS FROM A LAB IN CHINA. Just sayin .
This GLOBAL  (WORLD) pandemic , Has LED many COUNTRIES  TO MAKE DECISIONS that impact the environment !
Do your homework. Truth is NEVER told . ITS LEARNED .. I get it .. it’s 
Easier to sit back &amp; BELIEVE what ur told"
1329639642522656768,2020-11-20T04:16:08.000Z,0,0,0,0,@RaveynA There are families going after the hospitals to change the death certificates because they were put down as a Covid death and that’s not what they died from. Truth will prevail and there are going to be a lot of mad people.
1329639640710606851,2020-11-20T04:16:08.000Z,0,0,0,0,"When things are better (no covid, no school, finish all important dox at work, etc), i’d like to take a week off from work, school and socmed. I just want to wakeup early, go by the beach or do Sun Salutations, have a slow-phased life, have a clear mind, enjoy nature, etc."
1329639640232566785,2020-11-20T04:16:08.000Z,0,0,0,0,"@Crypto_A_S @blinkinriley A (previously) perfectly healthy 29-year-old mother of two children in my hometown just died with COVID. 

Oh, and you suck."
1329639639326613508,2020-11-20T04:16:08.000Z,0,0,0,0,"All residents of Thorang village of Lahaul valley in Himachal Pradesh, barring a 52-year-old man, have tested positive for Covid-19
#GoogleNews #ThorangCovid #IndiaNews https://t.co/eBLXHlMVTw"
1329639638357733377,2020-11-20T04:16:07.000Z,0,0,0,0,@elonjames WTF iscwrongbw/ you? You Covidian Cultist live in a nightmare that doesn't exist. Your lovkfowns have killed more than Covid &amp; destroyed countless businesse. Your masks do nothing. You fools are so scared. You can't right=FACT!
1329639636273139717,2020-11-20T04:16:07.000Z,0,0,0,0,@TuckerCarlson Top Canadian Pathologist Tells Alberta Government COVID Is “The Greatest Hoax Ever Perpetrated On An Unsuspecting Public” https://t.co/8UhdGM1mxK
1329639635945807876,2020-11-20T04:16:07.000Z,0,0,0,0,Bitches from Stockton act like COVID isn’t in the middle of no where 😭 https://t.co/0ORdVOtw32
1329639634935173122,2020-11-20T04:16:07.000Z,0,0,0,0,"@IvankaTrump WTH! Americans need food, shelter, COVID-19 relief cash. Really..2.5 billion for sick ocean INSTEAD!? Are you tone deaf or blind?"
1329639634226167808,2020-11-20T04:16:06.000Z,0,0,0,0,We are no longer returning to school on January 1st because our COVID cases are going up in California I don’t think we’re going back anytime soon
1329639633827864578,2020-11-20T04:16:06.000Z,0,0,0,0,"Yes! Mask, Social Distance, Avoid large gatherings, Stop COVID Transmission and protect our families and friends. 😷This is one thing healthcare workers can agree on! ❤️🙏😷 https://t.co/aGGGVw8Xqg"
1329639726358417408,2020-11-20T04:16:28.000Z,0,0,0,0,"@SRottinger @jaime_coy @eanhammond @CuriousCalvini1 @missmerica @Broken_Devotion @Bezner @mrsamycgrant @JamiesonTaylor2 @imbenb @MainlineMom @ShawniebethM @notcrepes @kristenladd_ @jaimiehanson Yes! Same goes for Dallas! Love to have y’all!

Though I’m also looking forward to getting the Dallas Twitter crew together post-Covid (or at least trying!)"
1329639726098362368,2020-11-20T04:16:28.000Z,0,0,0,0,"South Carolina confirmed COVID deaths by date for November 19th

11/18 - 2
11/17 - 7
11/16 - 1
11/15 - 1
11/14 - 3
11/12 - 1
11/11 - 1
11/10 - 1

Source: @scdhec news release

#RationalGround"
1329639722189254656,2020-11-20T04:16:27.000Z,0,0,0,0,What I really want to know is this - is that how they planned to end Supernatural or did they rework it due to covid? #Supernatural #keepinglastepisodeasmyfinale
1329639721757237249,2020-11-20T04:16:27.000Z,0,0,0,0,"Trump boasts coronavirus mortality rate is ‘85% down’ as US death toll hits 250,000 #SmartNews This is the difference between reality &amp; fiction  https://t.co/xF4hQG09d3"
1329639720708677632,2020-11-20T04:16:27.000Z,0,0,0,0,So many died from COVID I blame trump &amp; pence they failed us
1329639719714631680,2020-11-20T04:16:27.000Z,0,0,0,0,I just want to know how much of it was covid and how much of it was just bad writing... could we get an ep release with the exact og script for 15x20 post-covid? please? #Supernatural
1329639718875586561,2020-11-20T04:16:27.000Z,0,0,0,0,This is exactly the right framing. This is a service economy recession in particular. That work is both outward facing and largely not doable from home—both drivers for contagion. Forced choice betw. food and shelter and a chance of COVID= Desperate people rolling the dice https://t.co/64gZqsz5J5
1329639718817046528,2020-11-20T04:16:27.000Z,0,0,0,0,"I lived in Nunavut from 2008-11, so I know a thing or two about the health care system there. Nothing about this article surprises me. If people think we have bad health care in rural Wellington County, try living in the North. We have it great here.
https://t.co/3Qhm2jGXuk"
